id,author,full_name,title,year_published,hist_start,hist_end,geography,currents,description
101,Edgerton,David Edgerton,"From Innovation to Use (article)",1999,1900,1999,global,innovation|determinism,"History of technology has been distorted by focus on innovation rather than technology-in-use. A genuine history must center old, geographically dispersed, maintenance-oriented technology."
102,Chandler,Alfred D. Chandler Jr.,"The Visible Hand",1977,1840,1920,north_america,capitalism|systems,"The 'visible hand' of managerial coordination replaced market mechanisms. New technologies created volumes and velocities that required hierarchies of salaried managers."
103,MacKenzie,Donald MacKenzie,"An Engine Not a Camera",2006,1960,2000,north_america,quantification|capitalism,"Financial models don't describe markets like a camera; they reshape them like an engine. Black-Scholes became 'performative' — adoption made the model more accurate, until 1987."
104,Hounshell,David A. Hounshell,"From the American System to Mass Production",1984,1800,1932,north_america,capitalism|systems|innovation,"Mass production (Ford) was fundamentally different from the 'American system' (armories). Ford's unchanging-product model reached a cul-de-sac by the mid-1920s."
105,Noble,David F. Noble,"America by Design",1977,1880,1940,north_america,capitalism|determinism,"Technology and corporate capitalism are inseparable. Engineers designed both machinery and social apparatus (patents, education, management) to ensure progress reinforced capitalist relations."
106,Kranzberg,Melvin Kranzberg,"Kranzberg's Laws (article)",1986,1800,1986,global,determinism,"'Technology is neither good nor bad; nor is it neutral.' Six laws synthesizing decades of scholarship: technology must be understood contextually, not as autonomous force."
107,Layton,Edwin T. Layton Jr.,"The Revolt of the Engineers",1971,1895,1940,north_america,capitalism|innovation,"Engineers developed an ideology of rational social management but couldn't escape dependence on corporate employers. The 'revolt' failed; reform gave way to accommodation."
108,O'Mara,Margaret O'Mara,"Cities of Knowledge",2005,1945,2000,north_america,coldwar|capitalism|innovation,"Cold War science funding reshaped American cities. Research parks (Stanford, Philadelphia, Atlanta) were deliberate attempts to replicate Silicon Valley's military-academic-industry ecosystem."
109,Baker,Erik Baker,"Make Your Own Job",2025,1870,2020,north_america,capitalism|innovation,"The entrepreneurial work ethic was deliberately constructed, not natural. From self-help to startup culture, Americans were taught to see precarity as opportunity."
110,Oldenziel,Ruth Oldenziel,"Making Technology Masculine",1999,1870,1945,north_america,gender|determinism,"'Technology' as a masculine domain was socially constructed 1870–1945. Engineers narrowed 'useful arts' to exclude women through language, boundary-making, and narrative."
111,Vinsel & Russell,Lee Vinsel & Andrew L. Russell,"The Innovation Delusion",2020,1950,2020,north_america,innovation|capitalism,"Innovation-speak has systematically devalued maintenance, repair, and care. Our worship of the new blinds us to the mundane labor that sustains everyday life."
112,Neff,Gina Neff,"Venture Labor",2012,1995,2005,north_america,capitalism|innovation,"Dot-com workers internalized economic risk as personal investment — 'venture labor.' Structural insecurity was repackaged as individual choice and opportunity."
113,von Hippel,Eric von Hippel,"The Sources of Innovation",1988,1950,1988,north_america,innovation,"Innovation often comes from users, not manufacturers. Functional source of innovation varies by industry; understanding this shifts how we think about R&D and intellectual property."
114,Oudshoorn & Pinch (eds.),Nelly Oudshoorn & Trevor Pinch,"How Users Matter",2003,1950,2003,global,innovation|determinism|gender,"Users are not passive recipients but active co-constructors of technology. Non-users and resisters are equally important shapers of sociotechnical change."
115,Wisnioski,Matthew Wisnioski,"Every American an Innovator",2025,1950,2020,north_america,innovation|coldwar,"'Innovation' was deliberately built into American institutions by traceable networks of experts. The innovator persona expanded from Cold War elite to universal aspiration."
116,Cronon,William Cronon,"Nature's Metropolis",1991,1830,1900,north_america,environment|capitalism|systems,"Chicago and its western hinterland were a single metropolitan system. Market relations simultaneously created an urban empire and transformed the landscapes sustaining it."
117,Agar,Jon Agar,"What Difference Did Computers Make? (article)",2006,1940,2000,global,computing|determinism,"Computerization was continuation, not rupture. Computers entered where routinized computation already existed. The difference was quantitative (speed), not qualitative."
118,Mody,Cyrus C. M. Mody,"The Long Arm of Moore's Law",2017,1965,2010,north_america,computing|coldwar|capitalism,"Moore's Law's demands for miniaturization co-evolved with transformations in how American science is organized — decline of corporate research, rise of university-industry partnerships."
119,Edwards,Paul N. Edwards,"A Vast Machine",2010,1850,2010,global,computing|environment|quantification,"The opposition between 'models' and 'data' in climate science is false. Everything we know about global climate depends on model-data symbiosis."
120,Stevens,Hallam Stevens,"Life Out of Sequence",2013,1960,2010,north_america,computing|quantification,"Computerization transformed what biologists do, not just how fast they do it. Biology adapted to the computer — data-driven statistical methods displaced hypothesis-driven bench work."
121,Küppers et al.,Bernd-Olaf Küppers; Johannes Lenhard & Terry Shinn,"Computer Simulation (article)",2006,1950,2006,global,computing|quantification,"Simulation is a fundamentally distinct mode of knowledge production — a 'third way' beyond theory and experiment — based on behavioral imitation through generative mechanisms."
122,November,Joseph November,"Biomedical Computing",2012,1950,1980,north_america,computing|coldwar,"Computerization of medicine was not inevitable — it required deliberate campaigns to restructure the life sciences. Computing and biomedicine were mutually constitutive."
123,Leonelli,Sabina Leonelli,"What Difference Does Quantity Make? (article)",2014,2000,2014,global,computing|quantification,"Big Data in biology is not just 'more data' but changes what counts as evidence, what questions are askable, and how biological objects are constituted."
124,Leonelli & Ankeny,Sabina Leonelli & Rachel A. Ankeny,"Re-thinking Organisms (article)",2012,1990,2012,global,computing|quantification,"Databases are reshaping model organism biology — not just storing data but actively constituting biological objects and research communities."
125,MacKenzie,Donald MacKenzie,"Mechanizing Proof",2001,1950,2000,north_america,computing|quantification|determinism,"Proof is socially negotiated, not absolute. Different 'cultures of proving' emerge around computer verification. The machine is a 'social prosthesis,' not an oracle."
126,Küppers et al. (eds.),Bernd-Olaf Küppers; Johannes Lenhard & Terry Shinn,"Simulation: Pragmatic Construction of Reality",2006,1950,2006,global,computing|quantification,"Simulations produce hyperrealistic virtual worlds whose relationship to reality remains fundamentally open. A 'generic instrument' spanning all disciplines."
127,Light,Jennifer S. Light,"From Warfare to Welfare",2003,1945,1975,north_america,coldwar|systems|computing,"Defense intellectuals transferred military techniques to city planning. Technologies failed but the technocratic power elite persisted."
128,Heilbroner,Robert L. Heilbroner,"Do Machines Make History? (article)",1967,1800,1967,global,determinism,"A qualified yes: technology constrains social arrangements within a range, but does not determine specific institutional forms. A founding text of the determinism debate."
129,Bijker Hughes & Pinch (eds.),Wiebe Bijker; Thomas P. Hughes & Trevor Pinch,"Social Construction of Technological Systems",1987,1880,1987,global,determinism|systems,"Three complementary frameworks — SCOT, LTS, and ANT — demonstrate that technological artifacts and social groups are mutually constitutive. The 'seamless web.'"
