id,author,full_name,title,year_published,hist_start,hist_end,geography,currents,description
202,Jacobs,Jane Jacobs,The Death and Life of Great American Cities,1961,1920,1961,new_york,foundations|community,"Cities are problems in organized complexity. Diversity — mixed uses, short blocks, old buildings, density — generates sidewalk safety, economic vitality, and trust."
203,Logan & Molotch,John R. Logan & Harvey L. Molotch,Urban Fortunes,1987,1945,1987,general,political_economy,"Cities are 'growth machines' driven by coalitions of place-based entrepreneurs seeking rents. Growth is a political project, not a natural market outcome."
204,Jackson,Kenneth T. Jackson,Crabgrass Frontier,1985,1820,1985,general,suburbs|race|political_economy,"American suburbanization was produced by deliberate government policies — FHA, HOLC — that subsidized white homeownership while disinvesting from cities and minorities."
205,Warner,Sam Bass Warner Jr.,Streetcar Suburbs,1962,1870,1900,boston,suburbs|political_economy,"Boston's streetcar suburbs were built by an unplanned partnership of railways and middle-class homeowners, creating enduring patterns of class segregation."
206,Wiese,Andrew Wiese,Places of Their Own,2004,1900,2000,general,suburbs|race|community,"African Americans were active agents in suburbanization throughout the 20th century, with aspirations shaped by class position, southern heritage, and racial experience."
207,Needham,Andrew Needham,Power Lines,2014,1940,2000,phoenix,political_economy|environment|race,"Phoenix's growth and Navajo impoverishment were mutually constitutive — the same electrical infrastructure connected coal extraction to suburban air conditioning."
208,Rome,Adam Rome,The Bulldozer in the Countryside,2001,1945,1970,general,suburbs|environment,"Suburban sprawl's environmental destruction helped catalyze American environmentalism. The bulldozer reshaped landscapes and sparked a political movement."
209,Kruse & Sugrue (eds.),Kevin M. Kruse & Thomas J. Sugrue,The New Suburban History,2009,1940,2009,general,suburbs|race|political_economy,"Suburbs were not homogeneous white enclaves but diverse contested spaces. Challenges the stereotype of suburbia as politically conservative and culturally uniform."
210,Suarez,Ray Suarez,The Old Neighborhood,1999,1950,1999,general,suburbs|community,"What Americans lost in the great suburban migration — walkability, diversity, communal life, the social fabric of urban neighborhoods."
211,Willis,Carol Willis,Form Follows Finance,1995,1890,1940,new_york|chicago,political_economy|built_environment,"Skyscrapers are vernacular architecture shaped by real estate formulas, not architectural genius. 'A machine that makes the land pay.'"
212,Isenberg,Alison Isenberg,Downtown America,2004,1900,2000,general,political_economy|built_environment|community,"Downtown was actively constructed and reconstructed by identifiable actors — merchants, planners, boosters — not simply abandoned by suburbanization."
213,Cronon,William Cronon,Nature's Metropolis,1991,1830,1900,chicago,environment|political_economy,"Chicago and its hinterland were a single metropolitan system. Market relations created an urban empire and transformed the landscapes sustaining it."
214,Crockett,Karilyn Crockett,People Before Highways,2018,1965,1987,boston,community|race|built_environment,"Boston's antihighway movement synthesized civil rights and planning ideologies into citizen-led 'city making' that challenged technocratic modernism."
215,Davis,Mike Davis,City of Quartz,1990,1850,1990,los_angeles,political_economy|race|built_environment,"LA is brutally divided by class, race, and militarized space. Successive elite growth coalitions reshape the built environment to serve capital while criminalizing the poor."
216,Sugrue,Thomas J. Sugrue,The Origins of the Urban Crisis,1996,1940,1960,detroit,race|political_economy,"The 'urban crisis' originated in the 1940s-50s: deindustrialization, racial discrimination, and white defensive localism — not 1960s liberalism."
217,Ansfield,Bench Ansfield,Born in Flames,2025,1968,1985,bronx|general,political_economy|race,"Landlord arson destroyed tens of thousands of housing units because insurance 'brownlining' made buildings worth more dead than alive. Suppressed only by tenant organizing."
218,Harris,Malcolm Harris,Palo Alto,2023,1870,2023,palo_alto,political_economy|race,"Silicon Valley is the product of 150 years of racial capitalism in California. The 'Palo Alto System' — test early, invest aggressively — became a template for everything."
219,O'Mara,Margaret O'Mara,Cities of Knowledge,2005,1945,2000,multiple,political_economy|suburbs|built_environment,"Cold War science funding reshaped American cities. Research parks were deliberate attempts to replicate Silicon Valley's military-academic-industry ecosystem."
220,Nicolaides,Becky M. Nicolaides,My Blue Heaven,2002,1920,1965,los_angeles,suburbs|race|community,"Working-class conservatism grew from material conditions of suburban homeownership. South Gate's survival strategies transmuted into defensive racial politics."
221,Deverell,William Deverell,Whitewashed Adobe,2004,1850,1950,los_angeles,race|community|built_environment,"LA matured through appropriating, sanitizing, and obliterating its Mexican past. Anglo elites built a 'City of the Future' by whitewashing its adobe origins."
222,Ley,David Ley,The New Middle Class and the Remaking of the Central City,1996,1960,1996,vancouver|toronto|montreal,community|political_economy,"Gentrification driven by a 'new middle class' whose 1960s cultural politics led them to revalue inner-city neighborhoods — demand-side, not rent gap."
223,Osman,Suleiman Osman,The Invention of Brownstone Brooklyn,2011,1945,1980,new_york,community|political_economy|built_environment,"Gentrification was grassroots cultural movement — postindustrial middle class searching for 'authenticity' against suburban conformity. They literally invented neighborhoods."
224,Zipp,Samuel Zipp,Manhattan Projects,2010,1945,1975,new_york,built_environment|political_economy|race,"Urban renewal was a cultural project shaped by Cold War symbolism. Modernity-as-proof-of-democracy rhetoric was turned against renewal by its critics."
