source_id,target_id,label
1,10,Epistemic regimes shifting over time
1,6,Periodization: rupture vs. revision
1,9,Continuity vs. discontinuity
1,32,Critique of modernity's self-image
2,3,Gender and the origins of modern science
2,4,Bodily & artisanal knowledge
2,33,Whose bodies count as knowledge-producing?
3,9,What happened to wonder organicism feminized nature?
4,5,Non-elite epistemologies
4,7,Visual/material knowledge-making
4,12,Tacit knowledge & craft practice
5,7,Imperial knowledge circulation
5,27,Extraction & non-Western knowledge
5,35,Non-European epistemologies
6,29,The experimental life & social order
6,32,Modernity as ideology
10,19,Trained judgment in physics
10,42,Mechanical objectivity & quantification
10,47,Images as epistemic tools
10,13,The scientific self across eras
11,12,Pedagogy: person-to-person craft transmission
11,17,Translation transforms content
12,15,Disciplinary formation in physics
16,41,Science & Cold War state funding
16,36,Physics community & American power
18,23,Nuclear materials across contexts
18,25,Industrial science under coercion
19,20,Instruments & epistemic bootstrapping
19,24,Experimental systems & material culture
19,28,Against Kuhn's monolithic paradigms
19,30,What counts as evidence?
19,31,Constructivism applied to physics
20,30,Circularity in scientific verification
21,22,Laboratory as sociotechnical system
21,29,Construction of experimental facts
21,32,Latourian program
21,24,Inscription devices & epistemic things
22,23,Exchange networks of tools
22,40,Organisms as instruments
23,38,Cold War technology transfer
25,27,Knowledge under coercion & extraction
26,42,Quantification & governance
26,39,Co-production in postcolonial context
28,31,Against Kuhn from different angles
28,19,Dialogue vs. trading zones
29,39,Knowledge = social order
29,32,The Modern Constitution
30,31,SSK constructivism in physics
33,34,Animal studies & human nature
33,43,"Biopolitics: bodies, capital, narrative"
34,46,Colloquial science & publics
34,47,Scientific images & public audiences
36,38,Cold War institutions reshaping cities
36,41,Cold War rationality & American hegemony
37,38,Cybernetics applied to governance
37,41,Rationality applied to socialist planning
38,41,Defense intellectuals
39,42,Co-production & the politics of numbers
40,45,"Nature, place, & pedagogy"
40,34,Animals as vehicles for social ideas
43,33,"Genealogy, breeding, empire"
44,34,Cold War bodies & national identity
44,25,Bodies under state power
46,47,"Reception, images, & reading publics"
45,5,Contested geographies of knowledge
17,46,How scientific ideas travel to new audiences
42,41,Quantification as Cold War technology
3,40,Nature: organic vs. mechanical vs. ecological
27,36,American power abroad
7,17,Imperial knowledge circulation
8,1,What counts as knowledge?
13,14,Self-fashioning as scientific practice
