source_id,target_id,label
202,214,Citizen movements against technocratic planning
202,223,Grassroots urbanism and neighborhood identity
203,211,Real estate economics shaping urban form
203,215,Growth machines and elite power in cities
203,216,Political economy of urban decline
203,232,Finance and inequality in built environment
204,205,Suburbanization — national vs. local forces
204,206,Race and suburban access
204,208,Suburbs and environmental consequences
204,209,Revising the suburban narrative
204,227,American vs. Canadian suburbanization
205,227,Early suburb diversity before conformity
206,209,Challenging white suburban stereotypes
206,216,Race and metropolitan inequality
206,220,Working-class and Black suburban experiences
207,213,Hinterland extraction for metropolitan growth
207,215,Sunbelt political economy
208,213,Environmental costs of metropolitan expansion
208,229,Suburban sprawl and cultural construction of nature
209,220,Working-class suburbs and racial politics
209,225,Suburban culture and political identity
210,202,What urban neighborhoods provided that suburbs didn't
211,224,Built form and political economy in New York
212,215,Contested visions of the city center
212,224,Downtown and urban renewal
213,229,Nature as commodity in metropolitan systems
214,224,Citizen resistance to modernist planning
215,218,California capitalism across eras
215,221,Racial power and the making of LA
215,225,Los Angeles — political economy and popular culture
216,217,Urban crisis: structural decline and arson
217,203,When buildings are worth more dead than alive
218,219,Silicon Valley and urban political economy
219,207,Cold War reshaping metropolitan landscapes
220,225,White working-class suburban politics in LA
221,225,Mexican erasure and white fantasy in LA
222,203,New middle class and growth politics
222,223,Gentrification — demand-side explanations
223,224,Postwar New York — renewal vs. authenticity
224,202,Urban renewal vs. Jacobs' city
224,215,Cold War urbanism across cities
226,227,Canadian metropolitan governance and suburban form
226,228,Toronto in Canadian urban history
227,228,Canadian cities and suburban development
228,231,Canadian urban historiography — foundations and gaps
230,229,Nature in the city — professional visions
232,204,Suburban finance from Crabgrass Frontier to the present
